track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability_%,energy_%
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,1374581173,65,55
Beggin,Mï¿½ï¿½ne,1,2017,12,8,1367810478,71,80
Numb,Linkin Park,1,2003,3,24,1361425037,50,86
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,1357608774,63,61
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,1356565093,62,78
Blank Space,Taylor Swift,1,2014,1,1,1355959075,75,68
Woman,Doja Cat,1,2021,6,25,1329090101,82,76
Flowers,Miley Cyrus,1,2023,1,12,1316855716,71,68
Pepas,Farruko,1,2021,6,24,1309887447,76,77
Callaita,"Bad Bunny, Tainy",2,2019,5,31,1304313953,61,62
Shivers,Ed Sheeran,1,2021,9,9,1302184087,79,86
Heather,Conan Gray,1,2020,3,20,1301799902,47,43
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,1297026226,48,42
Iris,The Goo Goo Dolls,1,1998,3,31,1284942608,32,72
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,1279434863,47,92
Creep,Radiohead,1,1992,9,21,1271293243,53,34
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,1267333350,70,63
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,1264310836,65,72
Yonaguni,Bad Bunny,1,2021,6,4,1260594497,64,65
deja vu,Olivia Rodrigo,1,2021,4,1,1256880657,44,60
positions,Ariana Grande,1,2020,10,23,1252563873,73,80
Mockingbird,Eminem,1,2004,1,1,1241559043,62,67
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,1235005533,73,77
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,1230855859,29,33
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,1230675890,71,47
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,1223481149,72,76
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,1223481149,73,74
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,1221813483,65,79
505,Arctic Monkeys,1,2007,4,20,1217120710,52,85
La Bachata,Manuel Turizo,1,2022,5,26,1214083358,84,68
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,1210599487,81,78
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,1205951614,64,81
In Da Club,50 Cent,1,2002,1,1,1202722675,90,71
Hope,XXXTENTACION,1,2018,3,16,1200808494,59,46
Contection,"GODZZ__-, Zakaria",2,2020,1,16,1180896317,81,75
you broke me first,Tate McRae,1,2020,4,17,1180094974,64,37
Todo De Ti,Rauw Alejandro,1,2020,11,2,1168642797,81,63
Ghost,Justin Bieber,1,2021,3,19,1167330737,61,74
Set Fire to the Rain,Adele,1,2011,1,1,1163620694,61,68
Kill Bill,SZA,1,2022,12,8,1163093654,64,73
Last Christmas,Wham!,1,1984,1,1,1159176109,74,65
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,1145727611,74,70
Butter,BTS,1,2021,5,21,1143647827,79,36
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,1138474110,78,70
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,1133865788,65,69
Night Changes,One Direction,1,2014,11,17,1131090940,67,52
Daddy Issues,The Neighbourhood,1,2015,10,30,1127468248,59,52
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,1122364376,52,48
Dandelions,Ruth B.,1,2017,4,28,1116995633,61,69
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,1115880852,59,62
Shake It Off,Taylor Swift,1,2014,1,1,1113838873,65,80
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,1109433169,56,97
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,1093605526,74,53
Somewhere Only We Know,Keane,1,2004,1,1,1089402494,45,59
I Ain't Worried,OneRepublic,1,2022,5,13,1085685420,71,81
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,1065580332,65,86
Talking To The Moon,Bruno Mars,1,2010,10,4,1062956628,52,61
The Business,Tiï¿½ï¿,1,2020,1,1,1062345656,80,62
My Universe,"Coldplay, BTS",2,2021,9,24,1061966512,58,68
Happier Than Ever,Billie Eilish,1,2021,7,30,1056760045,31,24
Efecto,Bad Bunny,1,2022,5,6,1047480053,80,48
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,1047101291,56,56
Need To Know,Doja Cat,1,2021,6,11,1042568408,66,61
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,1024858327,63,55
Falling,Harry Styles,1,2019,12,13,1023187129,57,27
Revenge,XXXTENTACION,1,2017,8,25,1022258230,75,25
ýýýabcdefu,Gayle,1,2021,8,13,1007612429,70,54
Anti-Hero,Taylor Swift,1,2022,10,21,999748277,64,63
Arcade,Duncan Laurence,1,2019,3,7,991336132,45,33
Glimpse of Us,Joji,1,2022,6,10,988515741,44,32
Summertime Sadness,Lana Del Rey,1,2011,1,1,983637508,56,66
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,972509632,67,64
I Love You So,The Walters,1,2014,11,28,972164968,58,67
No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,956865266,74,89
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,951637566,61,46
Sure Thing,Miguel,1,2010,5,25,950906471,68,60
Unstoppable,Sia,1,2016,1,21,939844851,47,78
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,933815613,79,81
Under The Influence,Chris Brown,1,2019,10,4,929964809,73,69
Wait a Minute!,Willow,1,2015,1,11,924193303,76,71
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,920797189,74,85
Dark Red,Steve Lacy,1,2017,2,20,920045682,60,78
Stan,"Eminem, Dido",2,1999,11,21,918915401,78,74
Moscow Mule,Bad Bunny,1,2022,5,6,909001996,80,67
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,899183384,80,80
Infinity,Jaymes Young,1,2017,6,23,888046992,67,67
Heartless,Kanye West,1,2008,1,1,887906111,79,65
PROVENZA,Karol G,1,2022,4,21,885093467,87,52
Lover,Taylor Swift,1,2012,1,1,882831184,43,55
