track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability_%,energy_%
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,401036314,72,59
Snooze,SZA,1,2022,12,9,399686758,56,55
Ditto,NewJeans,1,2022,12,19,397582059,81,64
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,395591396,67,36
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,395591396,23,25
Jordan,Ryan Castro,1,2021,4,30,394030335,80,68
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,393230256,79,70
Is There Someone Else?,The Weeknd,1,2022,1,7,391251368,70,58
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,389771964,36,15
Daylight,David Kushner,1,2023,4,14,387570742,51,43
Mary On A Cross,Ghost,1,2019,9,13,387080183,47,90
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,383835984,85,80
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,383550148,63,62
In The Stars,Benson Boone,1,2022,4,29,382199619,36,54
Punto G,Quevedo,1,2022,11,4,381161027,75,76
Monotonï¿½,"Ozuna, Shakira",2,2022,10,19,380726517,87,70
Selfish,PnB Rock,1,2016,6,23,380319238,64,60
Praise God,Kanye West,1,2021,8,29,376333030,80,55
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,11,11,374706940,77,30
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,374191487,66,82
People,Libianca,1,2022,12,2,373199958,59,42
Bloody Mary,Lady Gaga,1,2011,1,1,372476382,59,65
Alien Blues,Vundabar,1,2015,7,24,370068639,47,76
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,368646862,44,20
You Proof,Morgan Wallen,1,2022,5,13,367814306,73,85
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,367316268,54,60
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,366599607,58,57
Matilda,Harry Styles,1,2022,5,20,366214458,51,29
Hype Boy,NewJeans,1,2022,8,1,363472647,59,94
Acapulco,Jason Derulo,1,2021,9,1,363467642,77,79
Like Crazy,Jimin,1,2023,3,24,363369738,63,73
Vista Al Mar,Quevedo,1,2022,9,8,362361576,76,56
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,357925728,77,64
METAMORPHOSIS,INTERWORLD,1,2021,11,25,357580552,59,64
I Hate U,SZA,1,2021,12,3,356709897,54,39
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,355219175,76,84
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,354614964,70,88
El Azul,"Junior H, Peso Pluma",2,2023,2,10,354495408,56,65
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,354065229,86,53
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,351636786,72,87
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,350381515,63,73
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,349746291,81,83
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,349585590,60,47
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,348647203,69,39
this is what falling in love feels like,JVKE,1,2021,9,3,346127840,42,44
The Feels,TWICE,1,2021,10,1,345903614,81,90
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,345031710,74,83
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,344055883,80,62
she's all i wanna be,Tate McRae,1,2022,2,4,343197054,61,64
Nonsense,Sabrina Carpenter,1,2022,7,15,342897938,74,68
Super Gremlin,Kodak Black,1,2021,10,30,342779426,83,41
Out of Time,The Weeknd,1,2022,1,7,339659802,65,74
Demasiadas Mujeres,C. Tangana,1,2020,10,8,339473453,67,46
TV,Billie Eilish,1,2022,7,21,338564981,41,25
Dos Mil 16,Bad Bunny,1,2022,5,6,338422004,82,67
Classy 101,"Feid, Young Miko",2,2023,3,31,335222234,86,66
Players,Coi Leray,1,2022,11,30,335074782,95,52
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,334733572,72,72
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,333146475,80,85
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,332506354,64,72
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,331511413,63,43
Run BTS,BTS,1,2022,6,10,330881149,72,82
Por las Noches,Peso Pluma,1,2021,6,11,330346424,81,60
Bejeweled,Taylor Swift,1,2022,10,21,328207708,70,56
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,327498031,84,72
Sacrifice,The Weeknd,1,2022,1,7,326792833,70,79
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,325592432,70,79
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,323455692,70,59
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,323437194,66,32
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,323358833,71,88
GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25,322336177,63,86
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,319757142,59,45
Maan Meri Jaan,King,1,2022,10,12,319566866,70,51
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,319546754,78,60
Maroon,Taylor Swift,1,2022,10,21,317726339,64,40
Christmas Tree,V,1,2021,12,24,317622165,44,38
Yo No Soy Celoso,Bad Bunny,1,2022,5,6,313113297,87,59
La Zona,Bad Bunny,1,2020,2,29,312622938,76,80
Satellite,Harry Styles,1,2022,5,20,311482393,58,46
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,311395144,77,42
Shirt,SZA,1,2022,10,28,309653982,82,45
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,309483971,74,73
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,307752576,80,85
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,307370144,70,54
LOVE DIVE,IVE,1,2022,4,5,305771063,70,71
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,305650299,71,65
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,304118600,89,66
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,304079786,87,83
WHERE SHE GOES,Bad Bunny,1,2023,5,18,303236322,65,80
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,303216294,73,79
Yet To Come,BTS,1,2022,6,10,302006641,56,89
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,301869854,70,57
N95,Kendrick Lamar,1,2022,5,13,301242089,81,66
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,301051721,88,80
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,300983101,77,78
Chale,Eden Muï¿½ï,1,2022,2,18,299648208,55,44
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,299634472,81,63
LET GO,Central Cee,1,2022,12,15,298063749,74,45
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,297328960,25,30
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,295998468,73,32
Numb,"Marshmello, Khalid",2,2022,6,10,295307001,91,77
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,295152154,77,75
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,294352144,95,69
Last Last,Burna Boy,1,2022,5,12,293466523,80,56
ceilings,Lizzy McAlpine,1,2022,4,8,293186992,51,33
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14,291709698,73,83
Daylight,Harry Styles,1,2022,5,20,290833204,69,45
Every Summertime,NIKI,1,2021,8,10,290228626,63,67
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,288101651,66,60
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,287278853,79,59
It'll Be Okay,Shawn Mendes,1,2021,12,1,287201015,40,29
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,286739476,60,71
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,286400165,68,71
Nobody Gets Me,SZA,1,2022,12,9,284908316,36,28
Radio,Lana Del Rey,1,2011,1,1,284819874,42,86
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,284785823,40,64
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,284249832,71,60
Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,284216603,67,77
Aguacero,Bad Bunny,1,2022,5,6,283359161,86,65
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,283332261,50,50
Forever,Labrinth,1,2019,10,4,282883169,56,46
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,279737940,81,79
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,279717388,91,82
Ferxxo 100,Feid,1,2022,6,3,278920007,70,57
BILLIE EILISH.,Armani White,1,2022,1,20,277132266,90,50
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,276259178,75,53
Caile,Luar La L,1,2020,12,18,273914335,70,76
Little Freak,Harry Styles,1,2022,5,20,273194684,56,54
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,273005485,83,74
Low,SZA,1,2022,12,9,272377463,70,55
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12,271666301,50,78
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,267789608,74,87
Surface Pressure,Jessica Darrow,1,2021,11,19,267758538,65,58
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,266624541,79,78
Car's Outside,James Arthur,1,2019,10,18,265882712,34,56
After LIKE,IVE,1,2022,8,22,265548837,68,92
Attention,NewJeans,1,2022,8,1,264717480,81,65
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,263894529,46,83
Monï¿½ï¿½y so,YEAT,1,2021,9,10,263779030,69,57
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,263453310,65,95
Ojos Marrones,Lasso,1,2022,2,6,263280370,81,65
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,261414174,67,63
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,261286503,96,42
My Only Wish (This Year),Britney Spears,1,2000,11,7,261116938,67,72
Numb Little Bug,Em Beihold,1,2022,1,28,258714692,74,52
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,258316038,80,69
Moonlight,Kali Uchis,1,2023,2,24,256483385,64,72
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,255932395,74,80
When You're Gone,Shawn Mendes,1,2022,3,31,255120451,60,69
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,254218729,88,66
Vigilante Shit,Taylor Swift,1,2022,10,21,253650850,80,28
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,252871192,31,86
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,250305248,68,76
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,248511839,82,75
Rara Vez,"Taiu, Milo j",2,2023,2,8,248088961,84,71
ELEVEN,IVE,1,2021,12,1,247737946,83,73
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,247689123,72,77
Die For You,Joji,1,2022,11,4,246390068,47,52
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,246376690,51,76
Agosto,Bad Bunny,1,2022,5,6,246127838,85,58
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,245400167,67,75
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,245350949,69,71
TO THE MOON,Jnr Choi,1,2021,11,5,245095641,74,65
THE SHADE,Rex Orange County,1,2022,3,11,244928911,90,51
San Lucas,Kevin Kaarl,1,2019,11,7,244891912,58,36
Afraid To Feel,LF System,1,2022,5,2,244790012,58,91
Thousand Miles,The Kid Laroi,1,2022,4,22,244741137,38,66
Heart To Heart,Mac DeMarco,1,2019,5,10,244658767,90,14
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,244585109,74,89
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,242767149,34,76
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,240918092,82,88
Ginseng Strip 2002,Yung Lean,1,2013,8,16,240769997,60,71
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,240684449,82,61
Plan A,Paulo Londra,1,2022,3,23,240661097,58,83
With you,"HA SUNG WOON, Jimin",2,2022,4,24,240580042,53,43
Forget Me,Lewis Capaldi,1,2022,9,9,239411309,67,74
Hold My Hand,Lady Gaga,1,2022,5,3,238350348,51,63
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,237351106,78,74
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,236940480,70,44
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,236872197,68,43
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,236857112,73,57
Keep Driving,Harry Styles,1,2022,5,20,236060709,72,48
Typa Girl,BLACKPINK,1,2022,9,16,235549288,92,62
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,233801632,69,71
Love Of My Life,Harry Styles,1,2022,5,20,233671263,56,54
FLOWER,JISOO,1,2023,3,31,232896922,84,39
Mujeriego,Ryan Castro,1,2021,12,17,231996128,76,62
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,231657891,64,88
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,231332117,84,79
FEARLESS,LE SSERAFIM,1,2022,5,2,229497852,86,62
Starlight,Dave,1,2022,3,3,229473310,95,37
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,227918678,70,34
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29,226897599,69,89
I AM WOMAN,Emmy Meli,1,2021,11,18,225259194,65,47
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,225093344,52,60
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,223633238,78,68
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,223582566,77,87
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,223319934,56,76
Question...?,Taylor Swift,1,2022,10,21,223064273,75,50
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,222612678,64,91
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,222410722,65,66
Betty (Get Money),Yung Gravy,1,2022,6,10,221752937,73,75
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,221409663,79,74
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,219196651,77,87
Mastermind,Taylor Swift,1,2022,10,21,218320587,66,35
Cupido,Tini,1,2023,2,14,217672943,91,58
POP!,Nayeon,1,2022,6,24,213505179,80,86
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,213438580,58,62
El Apagï¿½,Bad Bunny,1,2022,5,6,212351890,63,70
MANIAC,Stray Kids,1,2022,3,18,212234990,58,80
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,212109195,91,96
Polaroid Love,ENHYPEN,1,2022,1,10,211372494,74,67
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,211050784,64,87
KICK BACK,Kenshi Yonezu,1,2022,10,12,210038833,58,94
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,209768491,73,74
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,209106362,82,85
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,208166039,78,57
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,207033255,69,90
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,206399629,52,48
When I R.I.P.,Labrinth,1,2019,10,4,203680270,39,55
The Astronaut,Jin,1,2022,10,28,203436468,54,76
Thought You Should Know,Morgan Wallen,1,2022,5,6,203221468,53,70
Hati-Hati di Jalan,Tulus,1,2022,3,3,202677468,64,44
Static,Steve Lacy,1,2022,7,15,202452860,34,31
Tattoo,Loreen,1,2023,2,25,201660859,55,78
Bar,"Tini, L-Gante",2,2021,11,11,200972675,52,69
Less Than Zero,The Weeknd,1,2022,1,7,200660871,53,79
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,200647221,85,67
Grapejuice,Harry Styles,1,2022,5,20,199587884,65,72
Limbo,Freddie Dredd,1,2022,8,11,199386237,80,62
DANCE CRIP,Trueno,1,2021,11,17,198883004,86,79
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,198365537,77,70
En Paris,"El Chachito, Junior H",2,2022,12,24,198275403,70,48
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,197643795,78,75
Pass The Dutchie,Musical Youth,1,1982,1,1,195918494,73,67
Massive,Drake,1,2022,6,17,195628667,51,68
Eyes Closed,Ed Sheeran,1,2023,3,23,195576623,78,53
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,195516622,49,66
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,194902696,71,86
Nail Tech,Jack Harlow,1,2022,2,18,193443895,65,58
La Bebe,Yng Lvcas,1,2021,12,24,191945597,78,46
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,191873381,77,74
Sticky,Drake,1,2022,6,17,191448892,88,49
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,191333656,75,63
In My Head,Lil Tjay,1,2022,4,1,190981339,68,55
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,190625045,82,70
Slut Me Out,NLE Choppa,1,2022,4,22,190490915,94,61
Talk that Talk,TWICE,1,2022,8,26,189476119,77,91
Cinema,Harry Styles,1,2022,5,20,189236868,83,64
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,188933502,61,73
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,187772591,78,64
Daydreaming,Harry Styles,1,2022,5,20,187703102,71,81
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,187701588,59,60
Labyrinth,Taylor Swift,1,2022,10,21,187339835,48,31
Sweet Nothing,Taylor Swift,1,2022,10,21,186104310,34,16
10 Things I Hate About You,Leah Kate,1,2022,3,23,185550869,54,79
Cigarettes,Juice WRLD,1,2021,12,10,185408548,60,62
Prohibidox,Feid,1,2022,9,13,185392587,65,80
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,185240616,72,47
GIVENCHY,Duki,1,2022,7,20,185236961,61,62
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,184937148,59,63
Flowers,Lauren Spencer Smith,1,2021,8,9,184826429,70,44
Tak Ingin Usai,Keisya Levronka,1,2022,5,13,184807630,49,40
Good Looking,Suki Waterhouse,1,2017,10,20,184706613,37,56
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,184622518,68,71
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,184308753,44,77
Sprinter,"Dave, Central Cee",2,2023,6,1,183706234,92,58
295,Sidhu Moose Wala,1,2021,5,15,183273246,68,76
DARARI,Treasure,1,2022,2,15,182978249,72,64
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,181831132,65,47
The Great War,Taylor Swift,1,2022,10,21,181382590,57,74
Hrs and Hrs,Muni Long,1,2021,11,19,181328253,51,53
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,180577478,63,88
Tak Segampang Itu,Anggi Marito,1,2022,12,2,179659294,51,44
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,179061440,74,58
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,178660459,51,34
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,178512385,79,84
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,177740666,60,91
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,177503916,48,84
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,177129919,63,75
TQM,Fuerza Regida,1,2023,5,19,176553476,79,85
Celestial,Ed Sheeran,1,2022,9,29,176474912,57,85
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,176290831,93,45
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,176103902,95,57
WANDA,Quevedo,1,2023,1,20,175399345,72,63
Search & Rescue,Drake,1,2023,4,7,175097833,82,44
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,174006928,87,52
Rich Spirit,Kendrick Lamar,1,2022,5,13,173702135,85,43
Like Crazy (English Version),Jimin,1,2023,3,24,173627354,62,76
Chemical,Post Malone,1,2023,4,14,172825906,50,90
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,171788484,55,64
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,170732845,72,46
Nxde,(G)I-DLE,1,2022,10,17,170709584,73,91
On BS,"Drake, 21 Savage",2,2022,11,4,170413877,84,36
Gatita,Bellakath,1,2022,10,3,168684524,90,81
Set Me Free Pt.2,Jimin,1,2023,3,17,168448603,59,82
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,167076418,42,36
Sial,Mahalini,1,2023,1,23,166570053,56,43
If We Ever Broke Up,Mae Stephens,1,2023,2,10,165584767,90,73
Makeba,Jain,1,2015,6,22,165484133,82,66
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,164856284,70,62
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25,164163229,61,90
Blind,SZA,1,2022,12,9,163284000,46,28
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,162887075,93,47
Chanel,"Becky G, Peso Pluma",2,2023,3,30,161460990,85,68
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,160845341,81,58
Beautiful Girl,Luciano,1,2022,4,22,160035717,84,42
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,159240673,84,75
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,158950978,76,81
RUMBATï¿½,Daddy Yankee,1,2022,3,25,157990698,69,91
Antes de Perderte,Duki,1,2022,6,2,157136970,81,93
Fast Car,Luke Combs,1,2023,3,24,157058870,71,60
United In Grief,Kendrick Lamar,1,2022,5,13,156898322,52,83
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,156777415,58,38
Pope Is a Rockstar,SALES,1,2016,4,20,156658366,73,45
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,156338624,70,81
Boy's a liar,PinkPantheress,1,2022,11,30,156338624,66,84
Malas Decisiones,Kenia OS,1,2022,10,26,156214700,81,79
MORE,j-hope,1,2022,7,1,155795783,78,72
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,155653938,67,59
Major Distribution,"Drake, 21 Savage",2,2022,11,4,154863153,91,55
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,154797871,72,71
Miss You,Southstar,1,1982,5,16,154356956,66,58
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,154119539,89,86
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,153454328,59,89
AMARGURA,Karol G,1,2023,2,24,153372011,92,70
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,153240879,80,65
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,152850295,79,68
Dua Lipa,Jack Harlow,1,2022,5,6,150500965,83,65
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,149778242,64,77
One Thing At A Time,Morgan Wallen,1,2022,12,2,148469433,61,91
Talk,YEAT,1,2022,9,2,148461629,70,76
Love Again,The Kid Laroi,1,2023,1,27,147538971,66,40
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,147290338,57,59
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,146789379,53,31
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,146409671,82,67
That's Hilarious,Charlie Puth,1,2022,4,8,146363130,71,44
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,146223492,80,81
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,145458418,67,67
Heaven,Niall Horan,1,2023,2,17,144584800,57,76
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,144565150,83,44
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,143573775,57,94
212,"Mainstreet, Chefin",2,2022,1,15,143139338,79,52
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,142095275,50,52
Circo Loco,"Drake, 21 Savage",2,2022,11,4,141720999,73,61
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,141381703,80,83
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,140430339,49,74
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,140187018,77,80
vampire,Olivia Rodrigo,1,2023,6,30,140003974,51,53
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,139836056,59,56
